Timestamp,Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
1785760997.520817,40,1,0,0,1,0,0,68.0
1785760997.535617,40,1,0,0,1,0,0,68.0
1785760997.550768,40,1,0,0,1,0,0,68.0
1785760997.566190,40,1,0,0,1,0,0,68.0
1785760997.581203,40,1,0,0,1,0,0,68.0
1785760997.597783,40,1,0,0,1,0,0,68.0
1785760997.613488,40,1,0,0,1,0,0,68.0
1785760997.628367,40,1,0,0,1,0,0,68.0
1785760997.643998,40,1,0,0,1,0,0,68.0
1785760997.660028,40,1,0,0,1,0,0,68.0
1785760997.675700,40,1,0,0,1,0,0,68.0
1785760997.690736,40,1,0,0,1,0,0,68.0
1785760997.705819,40,1,0,0,1,0,0,68.0
1785760997.721083,40,1,0,0,1,0,0,68.0
1785760997.736201,40,1,0,0,1,0,0,67.0
1785760997.751211,40,1,0,0,1,0,0,67.0
1785760997.766776,40,1,0,0,1,0,0,67.0
1785760997.781358,40,1,0,0,1,0,0,67.0
1785760997.796516,40,1,0,0,1,0,0,67.0
1785760997.811549,40,1,0,0,1,0,0,67.0
1785760997.826252,40,1,0,0,1,0,0,67.0
1785760997.841809,40,1,0,0,1,0,0,67.0
1785760997.856744,40,1,0,0,1,0,0,67.0
1785760997.871773,40,1,0,0,1,0,0,67.0
1785760997.886873,40,1,0,0,1,0,0,68.0
1785760997.902020,40,1,0,0,1,0,0,68.0
1785760997.916739,40,1,0,0,1,0,0,68.0
1785760997.931781,40,1,0,0,1,0,0,68.0
1785760997.946841,40,1,0,0,1,0,0,68.0
1785760997.962476,40,1,0,0,1,0,0,68.0
1785760997.977568,40,1,0,0,1,0,0,68.0
1785760997.992761,40,1,0,0,1,0,0,68.0
1785760998.007942,40,1,0,0,1,0,0,68.0
1785760998.022933,40,1,0,0,1,0,0,68.0
1785760998.037695,40,1,0,0,1,0,0,67.0
1785760998.053157,40,1,0,0,1,0,0,67.0
1785760998.068799,40,1,0,0,1,0,0,67.0
1785760998.083629,40,1,0,0,1,0,0,67.0
1785760998.098420,40,1,0,0,1,0,0,67.0
1785760998.113611,40,1,0,0,1,0,0,67.0
1785760998.128529,40,1,0,0,1,0,0,67.0
1785760998.143826,40,1,0,0,1,0,0,67.0
1785760998.159900,40,1,0,0,1,0,0,67.0
1785760998.175402,40,1,0,0,1,0,0,67.0
1785760998.190821,40,1,0,0,1,0,0,67.0
1785760998.206712,40,1,0,0,1,0,0,66.0
1785760998.221312,40,1,0,0,1,0,0,66.0
1785760998.236824,40,1,0,0,1,0,0,66.0
1785760998.252096,40,1,0,0,1,0,0,66.0
1785760998.267828,40,1,0,0,1,0,0,66.0
1785760998.283795,40,1,0,0,1,0,0,66.0
1785760998.300104,40,1,0,0,1,0,0,66.0
1785760998.314952,40,1,0,0,1,0,0,66.0
1785760998.329734,40,1,0,0,1,0,0,66.0
1785760998.344826,40,1,0,0,1,0,0,66.0
1785760998.359828,40,1,0,0,1,0,0,66.0
1785760998.375592,40,1,0,0,1,0,0,66.0
1785760998.391443,40,1,0,0,1,0,0,66.0
1785760998.406805,40,1,0,0,1,0,0,66.0
1785760998.421874,40,1,0,0,1,0,0,66.0
1785760998.437748,40,1,0,0,1,0,0,66.0
1785760998.453198,40,1,0,0,1,0,0,66.0
1785760998.468913,40,1,0,0,1,0,0,66.0
1785760998.483962,40,1,0,0,1,0,0,66.0
1785760998.498893,40,1,0,0,1,0,0,66.0
1785760998.513576,40,1,0,0,1,0,0,66.0
1785760998.528743,40,1,0,0,1,0,0,66.0
1785760998.543846,40,1,0,0,1,0,0,66.0
1785760998.558625,40,1,0,0,1,0,0,66.0
1785760998.573433,40,1,0,0,1,0,0,66.0
1785760998.589035,40,1,0,0,1,0,0,66.0
1785760998.604028,40,1,0,0,1,0,0,66.0
1785760998.618913,40,1,0,0,1,0,0,66.0
1785760998.633488,40,1,0,0,1,0,0,66.0
1785760998.648770,40,1,0,0,1,0,0,66.0
1785760998.663584,40,1,0,0,1,0,0,66.0
1785760998.678849,40,1,0,0,1,0,0,66.0
1785760998.693925,40,1,0,0,1,0,0,66.0
1785760998.709275,40,1,0,0,1,0,0,66.0
1785760998.724460,40,1,0,0,1,0,0,66.0
1785760998.739558,40,1,0,0,1,0,0,66.0
1785760998.754212,40,1,0,0,1,0,0,66.0
1785760998.769478,40,1,0,0,1,0,0,66.0
1785760998.784385,40,1,0,0,1,0,0,66.0
1785760998.799216,40,1,0,0,1,0,0,66.0
1785760998.813951,40,1,0,0,1,0,0,66.0
1785760998.828848,40,1,0,0,1,0,0,66.0
1785760998.844337,40,1,0,0,1,0,0,66.0
1785760998.859802,40,1,0,0,1,0,0,66.0
1785760998.875387,40,1,0,0,1,0,0,66.0
1785760998.891288,40,1,0,0,1,0,0,66.0
1785760998.907845,40,1,0,0,1,0,0,66.0
1785760998.923694,40,1,0,0,1,0,0,66.0
1785760998.939058,40,1,0,0,1,0,0,66.0
1785760998.954291,40,1,0,0,1,0,0,66.0
1785760998.969771,40,1,0,0,1,0,0,66.0
1785760998.984138,40,1,0,0,1,0,0,66.0
1785760998.999604,40,1,0,0,1,0,0,66.0
1785760999.015382,40,1,0,0,1,0,0,66.0
1785760999.031269,40,1,0,0,1,0,0,66.0
1785760999.045846,40,1,0,0,1,0,0,66.0
1785760999.061528,40,1,0,0,1,0,0,66.0
1785760999.077770,40,1,0,0,1,0,0,66.0
1785760999.093351,40,1,0,0,1,0,0,66.0
1785760999.108941,40,1,0,0,1,0,0,66.0
1785760999.124519,40,1,0,0,1,0,0,66.0
1785760999.139088,40,1,0,0,1,0,0,66.0
1785760999.154422,40,1,0,0,1,0,0,66.0
1785760999.168976,40,1,0,0,1,0,0,66.0
1785760999.183979,40,1,0,0,1,0,0,66.0
1785760999.198917,40,1,0,0,1,0,0,66.0
